title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Save the Last Dance for Me,rb,The Drifters,1960,30056,{},"You can dance
Every dance with the guy
Who gives you the eye
Let him hold you tight

You can smile
Every smile for the man
Who held your hand
'Neath the pale moonlight

But don't forget who's taking you home
And in whose arms you're gonna be
So darlin'
Save the last dance for me, mmm

Oh, I know (Oh, I know)
That the music's fine
Like sparkling wine
Go and have your fun

Laugh and sing (Yes, I know)
But while we're apart
Don't give your heart
To anyone
But don't forget who's taking you home
And in whose arms you're gonna be
So darlin'
Save the last dance for me, mmm

Baby, don't you know I love you so?
Can't you feel it when we touch?
I will never, never let you go
I love you, oh, so much

You can dance (You can dance)
Go and carry on
Till the night is gone
And it's time to go

If he asks (You can dance)
If you're all alone
Can he take you home
You must tell him no

'Cause don't forget who's taking you home
And in whose arms you're gonna be
So darlin'
Save the last dance for me

'Cause don't forget who's taking you home
And in whose arms you're gonna be
So darlin'
Save the last dance for me, mmm
Save the last dance for me, mmm
Save the last dance for me",145945,en,en,en
Its Now Or Never,pop,Elvis Presley,1960,28338,{},"[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait

[Verse 1]
When I first saw you
With your smile so tender
My heart was captured
My soul surrendered
I spent a lifetime
Waiting for the right time
Now that you're near
The time is here at last

[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait
[Verse 2]
Just like a willow
We would cry an ocean
If we lost true love
And sweet devotion
Your lips excite me
Let your arms invite me
For who knows when
We'll meet again this way

[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait

[Outro]
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait",197252,en,en,en
A Hole in the Bucket,pop,Harry Belafonte,1960,27756,{Odetta},"[Intro: Harry Belafonte, Odetta]
I now have the pleasure to sing with Mr. Belafonte

Henry? Oh, Henry? (Yes, Liza)
Could you fetch the water? (Go fetch the water?)

[Verse: Harry Belafonte, Odetta]
There's a hole in the bucket, dear Liza, dear Liza
There's a hole in the bucket, dear Liza, a hole

Well, fix it dear Henry, dear Henry, dear Henry
So fix it dear Henry, dear Henry, fix it

With what shall I fix it, dear Liza, dear Liza
With what shall I fix it, dear Liza, with what?

With straw, dear Henry, dear Henry, dear Henry
With straw, dear Henry, dear Henry, with straw

But the straw is too long, dear Liza, dear Liza
The straw is too long, dear Liza, too long
Cut it dear Henry, dear Henry, dear Henry
Well, cut it dear Henry, dear Henry, cut it!

With what shall I cut it, dear Liza, dear Liza
With what shall I cut it, dear Liza, with what?
With an axe, dear Henry, dear Henry, dear Henry
With an axe, dear Henry, with an axe

The axe is too dull, dear Liza, dear Liza
The axe is too dull, dear Liza, too dull

Sharpen it, dear Henry, dear Henry, dear Henry
Well, sharpen it dear Henry, dear Henry, hone it!

On what shall I sharpen it, dear Liza, dear Liza
On what shall I hone it, dear Liza, with what?
On a stone, dear Henry, dear Henry, dear Henry
On a stone, dear Henry, dear Henry, on a stone
But the stone is too dry, dear Liza, dear Liza
The stone is too dry, dear Liza, too dry
Well, wet it, dear Henry, dear Henry, dear Henry
Well, wet it dear Henry, dear Henry, wet it

Ha ha ha, with what shall I wet it, dear Liza, dear Liza
With what shall I wet it, dear Liza, with what?
Try water, dear Henry, dear Henry, dear Henry
Try water, dear Henry, dear Henry, use water
In what shall I fetch it, dear Liza, dear Liza
In what shall I fetch it, dear Liza, in what?
In a bucket dear Henry, dear Henry, dear Henry
In a bucket, dear Henry, dear Henry, in a bucket
There's a hole in the bucket, dear Liza, dear Liza
There's a hole in the bucket, dear Liza, a hole",862766,en,en,en
My Heart Belongs to Daddy,pop,Marilyn Monroe,1960,27372,{},"My name is Lolita ...
And er...
I'm not supposed to play!
...with boys!
Moi? Mon coeur est a papa
You know, le proprietaire
No!
While tearing off a game of golf
I may make a play for the caddy
But when I do, I don't follow through
'cause my heart belongs to daddy
If I invite a boy some night to dine on my fine finnan haddie
I just adore his asking for more, but
My heart belongs to daddy
Yes, my heart belongs to daddy, so I simply couldn't be bad
Yes my heart belongs to daddy
So I want to warn you laddie
Though I know that you're perfectly swell
That my heart belongs to daddy cause my daddy he treats it so..
While tearing off a game of golf
I may make a play for the caddy
But when I do, I don't follow through,ooh, daddy
I f I invite a boy some night to cook up a fine enchilada
Though spanish rice is all very nice..
My heart belongs to my daddy so I simply couldn't be bad
So, I want to warn you laddie
Though I know that you're perfectly swell
That my heart belongs to my daddy
'cause my daddy he treats it..so..
That little old man he just treats it so good!",1486484,en,en,en
Stormy Weather,rb,Etta James,1960,26345,{},"Don't know why
There's no sun up in the sky
Stormy weather
Since my man and I ain't together
Keeps raining all of the time

Oh yeah
Life is bare
Gloom and misery everywhere
Stormy weather, stormy weather
And I just can't get my poor self together
Oh I'm weary all of the time
The time, so weary all of the time

When he went away
The blues walked in and met me
Oh yeah if he stays away
Old rocking chair's gonna get me
All I do is pray
The Lord will let me
Walk in the sun once more
Oh I can't go on, can't go on, can't go on
Everything I have is gone
Stormy weather, stormy weather
Since my man and I, me and my daddy ain't together
Keeps raining all of the time
Oh, oh, keeps raining all of the time
Oh yeah, yeah, yeah raining all of the time
Stormy stormy
Stormy weather
Yeah",1663762,en,en,en
Greenfields,pop,The Brothers Four,1960,25109,{},"Once there were greenfields
Kissed by the sun
Once there were valleys where rivers used to run
Once there were blue skies with white clouds high above
Once they were part of an everlasting love
We were the lovers
Who strolled through greenfields

Greenfields are gone now
Parched by the sun
Gone from the valleys where rivers used to run
Gone with the cold wind that swept into my heart
Gone with the lovers who let their dreams depart
Where are the greenfields that we used to roam?

I'll never know what made you run away
How can I keep searching when dark clouds hide the day
(Oh) I only know there's nothing here for me
Nothing in this wide world
Left for me to see
But I'll keep on waiting
Till you return
I'll keep on waiting until the day you learn
You can't be happy while your heart's on a roam
You can't be happy until you bring it home
Home to the greenfields and me once again",1714460,en,en,en
Spoonful,rock,Howlin' Wolf,1960,24998,"{""Howlin\\' Wolf""}","[Verse 1]
It could be a spoonful of diamond
It could be a spoonful of gold
Just a little spoon of your precious love
Satisfy my soul

[Chorus 1]
Men lies about little
Some of them cries about little
Some of them dies about littles
Everything fight about a spoonful
That spoon, that spoon, that

[Verse 2]
It could be a spoonful of coffee
Could be a spoonful of tea
But a little spoon of your precious love
Good enough for me

[Chorus 2]
Men lies about that
Some of them dies about that
Some of them cries about that
But everything fight about a spoonful
That spoon, that spoon, that ...
[Verse 3]
It could be a spoonful of water
Save you from the desert sand
But one spoon of lead from 45
Save you from another man

[Chorus 3]
Men lies about that
Some of them cries about that
Some of them dies about that
Everybody fightin' about a spoonful
That spoon, that spoon, that ...",297388,en,en,en
Puppy Love,pop,Paul Anka,1960,24342,{},"[Verse 1]
And they called it puppy love
Oh, I guess they'll never know
How a young heart really feels
And why I love her so
And they called it puppy love
Just because we're, we're seventeen
Tell them all it, please tell them it isn't fair
To take away my only dream

[Verse 2]
I cry each night my tears for you
My tears are all in vain
I hope and I'll pray that maybe someday
You'll be back (You'll be back), in my arms (in my arms)
Once again (Will be back in my arms once again)

[Verse 3]
Someone help me, help me, help me please
Is the answer up above?
How can I, oh, how can I tell them
This is not a puppy love? (This is not a puppy love)
Someone help me, help me, help me please
Is the answer up above?
How can I ever tell them
This is not a puppy love?
(This is not a puppy love)",810557,en,en,en
Spanish Harlem,pop,Ben E. King,1960,23752,{},"[Verse 1]
There is a rose in Spanish Harlem
A red rose up in Spanish Harlem
It is the special one, it's never seen the sun
It only comes out when the moon is on the run
And all the stars are gleaming
It's growing in the street
Right up through the concrete
But soft and sweet and dreaming

[Verse 2]
There is a rose in Spanish Harlem
A red rose up in Spanish Harlem
With eyes as black as coal
That looks down in my soul
And starts a fire there and then I lose control
I have to beg your pardon
I'm going to pick that rose
And watch her as she grows in my garden

I'm going to pick that rose
And watch her as she grows in my garden
[Outro]
(There is a rose in Spanish Harlem)
La la la, la la la, la la la la
(There is a rose in Spanish Harlem)
La la la, la la la, la la la la
(There is a rose in Spanish Harlem)",246940,en,en,en
Crawl Out Through The Fallout,pop,Sheldon Allman,1960,23277,{},"Crawl out through the fallout, baby
When they drop that bomb
Crawl out through the fallout
With the greatest of aplomb
When your white count's getting higher
Hurry, don't delay
I'll hold you close and kiss those
Radiation burns away

Crawl out through the fallout, baby
To my loving arms
Through the rain of Strontium-90
Think about your hero
When you're at Ground Zero
And crawl out through the fallout back to me

Crawl out through the fallout, baby
You know what I mean
Crawl out through the fallout
'Cause they said this bomb was clean
If you cannot find the way
Just listen for my song
I'll love you all your life
Although that may not be too long
Crawl out through the fallout, baby
To my loving arms
While those ICBM's keep us free
When you hear me call out
Baby, kick the wall out
And crawl out through the fallout back to me

'Cause you'll be the only girl in the world
Why don't you crawl out through the fallout back to me
Why don't you crawl out through the fallout back to me
Why don't you crawl out through the fallout back to
Me",2821068,en,en,en
